2024-08-11 18:14:23,101, 53, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.583741189776, Discriminator_Loss-train: 0.110651434005, Generator_Loss_val-val: 0.588217309553
2024-08-11 18:16:11,732, 54, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.583741887439, Discriminator_Loss-train: 0.110501272966, Generator_Loss_val-val: 0.588480874620
2024-08-11 18:18:01,072, 55, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.583750562979, Discriminator_Loss-train: 0.110352819211, Generator_Loss_val-val: 0.588915387202
2024-08-11 18:19:48,898, 56, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.583755078501, Discriminator_Loss-train: 0.110209843742, Generator_Loss_val-val: 0.588918709362
2024-08-11 18:21:37,516, 57, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.583768157287, Discriminator_Loss-train: 0.110068892827, Generator_Loss_val-val: 0.588999820644
2024-08-11 18:23:24,988, 58, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.583770676030, Discriminator_Loss-train: 0.109932120769, Generator_Loss_val-val: 0.589051607482
2024-08-11 18:25:15,685, 59, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.583766598017, Discriminator_Loss-train: 0.109809740684, Generator_Loss_val-val: 0.589186532139
2024-08-11 18:27:04,486, 60, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.583762545337, Discriminator_Loss-train: 0.109686612945, Generator_Loss_val-val: 0.589248838089
2024-08-11 18:28:53,066, 61, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583758784231, Discriminator_Loss-train: 0.109572565956, Generator_Loss_val-val: 0.589292777580
2024-08-11 18:30:43,046, 62, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583747466745, Discriminator_Loss-train: 0.109461771009, Generator_Loss_val-val: 0.589384784982
2024-08-11 18:32:31,161, 63, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583736402485, Discriminator_Loss-train: 0.109354221607, Generator_Loss_val-val: 0.589398073535
2024-08-11 18:34:23,700, 64, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583723779137, Discriminator_Loss-train: 0.109248476864, Generator_Loss_val-val: 0.589385154075
2024-08-11 18:36:12,351, 65, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583713614922, Discriminator_Loss-train: 0.109148813037, Generator_Loss_val-val: 0.589423793583
2024-08-11 18:38:05,139, 66, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583705659494, Discriminator_Loss-train: 0.109048633413, Generator_Loss_val-val: 0.589536418574
2024-08-11 18:39:55,271, 67, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583692620724, Discriminator_Loss-train: 0.108954209192, Generator_Loss_val-val: 0.589623353931
2024-08-11 18:41:53,318, 68, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583676440264, Discriminator_Loss-train: 0.108860945787, Generator_Loss_val-val: 0.589759104474
2024-08-11 18:43:40,992, 69, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583659421672, Discriminator_Loss-train: 0.108771616689, Generator_Loss_val-val: 0.589915571842
2024-08-11 18:45:31,428, 70, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583647173187, Discriminator_Loss-train: 0.108683217895, Generator_Loss_val-val: 0.590006792492
2024-08-11 18:47:18,212, 71, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583629464506, Discriminator_Loss-train: 0.108600268752, Generator_Loss_val-val: 0.590109585115
2024-08-11 18:49:08,274, 72, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583617628691, Discriminator_Loss-train: 0.108514654882, Generator_Loss_val-val: 0.590276165296
2024-08-11 18:50:57,901, 73, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583604555696, Discriminator_Loss-train: 0.108435098993, Generator_Loss_val-val: 0.590472943009
2024-08-11 18:52:52,301, 74, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583587618415, Discriminator_Loss-train: 0.108352632475, Generator_Loss_val-val: 0.590517137099
2024-08-11 18:54:42,283, 75, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583576508315, Discriminator_Loss-train: 0.108272347257, Generator_Loss_val-val: 0.590577376237
