2024-07-05 16:14:31,624, 41, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009832365342, Generator_Loss-train: 0.630012254440, Registration_Loss_val-val: 0.013637930987Generator_Loss_val-val: 0.633699577157
2024-07-05 16:21:55,914, 42, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009806289283, Generator_Loss-train: 0.629984686340, Registration_Loss_val-val: 0.013610556144Generator_Loss_val-val: 0.633672360091
2024-07-05 16:29:18,259, 43, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009780640872, Generator_Loss-train: 0.629957441674, Registration_Loss_val-val: 0.013594317302Generator_Loss_val-val: 0.633655315866
2024-07-05 16:36:47,494, 44, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009754890334, Generator_Loss-train: 0.629930242268, Registration_Loss_val-val: 0.013581050139Generator_Loss_val-val: 0.633640528771
2024-07-05 16:44:02,617, 45, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009730264734, Generator_Loss-train: 0.629903858220, Registration_Loss_val-val: 0.013573366449Generator_Loss_val-val: 0.633631023840
2024-07-05 16:51:30,219, 46, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009705207107, Generator_Loss-train: 0.629877009440, Registration_Loss_val-val: 0.013556973769Generator_Loss_val-val: 0.633613921401
2024-07-05 16:58:52,315, 47, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009680668483, Generator_Loss-train: 0.629850139453, Registration_Loss_val-val: 0.013558971866Generator_Loss_val-val: 0.633617039635
2024-07-05 17:06:16,060, 48, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009657902308, Generator_Loss-train: 0.629826917877, Registration_Loss_val-val: 0.013548150026Generator_Loss_val-val: 0.633604899299
2024-07-05 17:13:38,336, 49, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009635841359, Generator_Loss-train: 0.629802199701, Registration_Loss_val-val: 0.013546710022Generator_Loss_val-val: 0.633601794171
2024-07-05 17:20:52,181, 50, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009614054155, Generator_Loss-train: 0.629779451663, Registration_Loss_val-val: 0.013537317048Generator_Loss_val-val: 0.633592901512
2024-07-05 17:28:13,041, 51, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009591334067, Generator_Loss-train: 0.629754899190, Registration_Loss_val-val: 0.013526346002Generator_Loss_val-val: 0.633580898865
2024-07-05 17:35:27,477, 52, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009570781579, Generator_Loss-train: 0.629732913753, Registration_Loss_val-val: 0.013515235817Generator_Loss_val-val: 0.633569642278
2024-07-05 17:42:34,682, 53, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009549996401, Generator_Loss-train: 0.629710527421, Registration_Loss_val-val: 0.013500876687Generator_Loss_val-val: 0.633554408681
2024-07-05 17:49:50,711, 54, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009528155955, Generator_Loss-train: 0.629686550003, Registration_Loss_val-val: 0.013494577802Generator_Loss_val-val: 0.633547834495
2024-07-05 17:57:02,471, 55, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009507930329, Generator_Loss-train: 0.629666359888, Registration_Loss_val-val: 0.013496154537Generator_Loss_val-val: 0.633549801784
2024-07-05 18:04:22,594, 56, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009491617678, Generator_Loss-train: 0.629648273071, Registration_Loss_val-val: 0.013497025173Generator_Loss_val-val: 0.633550326067
2024-07-05 18:11:29,604, 57, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009471996938, Generator_Loss-train: 0.629628836600, Registration_Loss_val-val: 0.013498921600Generator_Loss_val-val: 0.633552385187
2024-07-05 18:18:48,933, 58, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009451492133, Generator_Loss-train: 0.629607481535, Registration_Loss_val-val: 0.013480913381Generator_Loss_val-val: 0.633534226898
2024-07-05 18:26:07,782, 59, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009433564035, Generator_Loss-train: 0.629588622695, Registration_Loss_val-val: 0.013477411086Generator_Loss_val-val: 0.633528365511
2024-07-05 18:33:26,395, 60, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009414581183, Generator_Loss-train: 0.629568513280, Registration_Loss_val-val: 0.013472472121Generator_Loss_val-val: 0.633521780781
2024-07-05 18:40:42,623, 61, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009395554438, Generator_Loss-train: 0.629548217318, Registration_Loss_val-val: 0.013460177073Generator_Loss_val-val: 0.633507317670
2024-07-05 18:47:58,334, 62, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009377457152, Generator_Loss-train: 0.629529428583, Registration_Loss_val-val: 0.013453165917Generator_Loss_val-val: 0.633499882892
2024-07-05 18:55:13,160, 63, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009358722480, Generator_Loss-train: 0.629508970680, Registration_Loss_val-val: 0.013457581020Generator_Loss_val-val: 0.633501923166
2024-07-05 19:02:27,585, 64, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009341821185, Generator_Loss-train: 0.629490864620, Registration_Loss_val-val: 0.013443534015Generator_Loss_val-val: 0.633486783402
